,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
levodopa_5,0.22004559350048003,-0.15546792627740302,0.36338551057346646,-0.0371577028899352,-0.7655401366134961,-0.735259935053027,-0.7460178995852744,1.0
""
,burstduration_6,burstinterval_6,Ku_6,CorrDim_6,PSD_3_to_7_6,PSD_12_to_30_6,PSD_20_to_40_6,levodopa_6
burstduration_6,1.0,0.04581359506888502,-0.1645064499730589,-0.032162008221804365,0.014753277769223496,-0.04328166496091528,0.006113990972071721,0.3155480615260219
burstinterval_6,0.04581359506888502,1.0,0.6092167703272668,-0.029906043023559585,-0.23812622853301738,-0.24509356837879853,-0.2499734143504836,-0.10222924563819244
Ku_6,-0.1645064499730589,0.6092167703272668,1.0,-0.1561907177368992,-0.6615718581171357,-0.6226343293277317,-0.6688862702084182,-0.009404931185065047
CorrDim_6,-0.032162008221804365,-0.029906043023559585,-0.1561907177368992,1.0,0.10246007975294613,0.04960855134812155,0.0996009985675028,-0.29724065981139275
PSD_3_to_7_6,0.014753277769223496,-0.23812622853301738,-0.6615718581171357,0.10246007975294613,1.0,0.9729111839110564,0.9978051219792363,-0.3324801289597888
PSD_12_to_30_6,-0.04328166496091528,-0.24509356837879853,-0.6226343293277317,0.04960855134812155,0.9729111839110564,1.0,0.9769805794285416,-0.31170813607961867
PSD_20_to_40_6,0.006113990972071721,-0.2499734143504836,-0.6688862702084182,0.0996009985675028,0.9978051219792363,0.9769805794285416,1.0,-0.33039171348631885
levodopa_6,0.3155480615260219,-0.10222924563819244,-0.009404931185065047,-0.29724065981139275,-0.3324801289597888,-0.31170813607961867,-0.33039171348631885,1.0
""
,burstduration_7,burstinterval_7,Ku_7,CorrDim_7,PSD_3_to_7_7,PSD_12_to_30_7,PSD_20_to_40_7,levodopa_7
burstduration_7,1.0,-0.11112474949065913,-0.22250596306843032,0.1431693051343308,-0.21858575085762091,-0.1853845812100549,-0.21433088697409397,-0.13561603288571852
burstinterval_7,-0.11112474949065913,1.0,0.40631421535519296,-0.25730147431472966,0.5041251849147466,0.5227840775089388,0.516606499588041,0.020287660904547
Ku_7,-0.22250596306843032,0.40631421535519296,1.0,-0.3598324333223289,0.8006029135468647,0.7400993113344831,0.7948436130294072,0.29187518821094016
CorrDim_7,0.1431693051343308,-0.25730147431472966,-0.3598324333223289,1.0,-0.4401268970977803,-0.4339087723400828,-0.43826098638172434,-0.1855430853562564
PSD_3_to_7_7,-0.21858575085762091,0.5041251849147466,0.8006029135468647,-0.4401268970977803,1.0,0.9742688346323679,0.9878368895573424,0.4272015147417002
