,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
CorrDim_6,0.03606775343252332,0.2150913324905153,-0.32588991472603945,1.0,0.24058997739889587,0.2270123013667698,0.23441952700833207
PSD_3_to_7_6,0.04705384563189353,0.5491247043074867,-0.5545942389809532,0.24058997739889587,1.0,0.978218312199932,0.9825404670696324
PSD_12_to_30_6,0.14792015801365754,0.5789930084617544,-0.48314062880227376,0.2270123013667698,0.978218312199932,1.0,0.9797016243175215
PSD_20_to_40_6,0.08590745606171137,0.5371756825995735,-0.5406470336744308,0.23441952700833207,0.9825404670696324,0.9797016243175215,1.0
""
,burstduration_7,burstinterval_7,Ku_7,CorrDim_7,PSD_3_to_7_7,PSD_12_to_30_7,PSD_20_to_40_7
burstduration_7,1.0,-0.48025434654229465,-0.21749886318048695,0.06586125773347762,-0.15070756826481052,-0.14015063737247233,-0.13979127702662175
burstinterval_7,-0.48025434654229465,1.0,0.34376095527384504,-0.1951338017257424,0.05678478452507205,0.10624452480238139,0.024069372204367345
Ku_7,-0.21749886318048695,0.34376095527384504,1.0,-0.6993546013520958,0.24024985071626997,0.4362506949076294,0.16015051672773914
CorrDim_7,0.06586125773347762,-0.1951338017257424,-0.6993546013520958,1.0,-0.4781922255341691,-0.6583678333544861,-0.39664290265626473
PSD_3_to_7_7,-0.15070756826481052,0.05678478452507205,0.24024985071626997,-0.4781922255341691,1.0,0.9495329610086907,0.99330452926794
PSD_12_to_30_7,-0.14015063737247233,0.10624452480238139,0.4362506949076294,-0.6583678333544861,0.9495329610086907,1.0,0.9151044892968722
PSD_20_to_40_7,-0.13979127702662175,0.024069372204367345,0.16015051672773914,-0.39664290265626473,0.99330452926794,0.9151044892968722,1.0
""
,burstduration_8,burstinterval_8,Ku_8,CorrDim_8,PSD_3_to_7_8,PSD_12_to_30_8,PSD_20_to_40_8
burstduration_8,1.0,-0.15366343795260065,0.13469626933567277,-0.15327147020404955,0.2841629105971706,0.2749028325761116,0.28689338178315194
burstinterval_8,-0.15366343795260065,1.0,0.11418501602469415,0.0595801491318021,0.07210614346681767,0.04580907292485507,0.07705817395506849
Ku_8,0.13469626933567277,0.11418501602469415,1.0,-0.06739928050506273,0.17673388000145313,0.18312606578415294,0.16287670295876844
CorrDim_8,-0.15327147020404955,0.0595801491318021,-0.06739928050506273,1.0,-0.3528659451337681,-0.3568750514920001,-0.35575295721667755
PSD_3_to_7_8,0.2841629105971706,0.07210614346681767,0.17673388000145313,-0.3528659451337681,1.0,0.9963997967218551,0.9994400053956745
PSD_12_to_30_8,0.2749028325761116,0.04580907292485507,0.18312606578415294,-0.3568750514920001,0.9963997967218551,1.0,0.9941957484233267
PSD_20_to_40_8,0.28689338178315194,0.07705817395506849,0.16287670295876844,-0.35575295721667755,0.9994400053956745,0.9941957484233267,1.0
""
,burstduration_9,burstinterval_9,Ku_9,CorrDim_9,PSD_3_to_7_9,PSD_12_to_30_9,PSD_20_to_40_9
burstduration_9,1.0,-0.46496141150488945,-0.09006876188365678,0.19526790986494297,0.30854272481568124,0.42015648174223796,0.18900543094611807
burstinterval_9,-0.46496141150488945,1.0,0.28690736893791874,0.12114399085489184,-0.10747688223277148,-0.08290523249881213,-0.09109241878676377
Ku_9,-0.09006876188365678,0.28690736893791874,1.0,-0.27968526615725936,-0.35016325646842933,-0.20895901485867843,-0.4747708216210396
CorrDim_9,0.19526790986494297,0.12114399085489184,-0.27968526615725936,1.0,0.2643021395371848,0.21694419316570082,0.2947189320401463
PSD_3_to_7_9,0.30854272481568124,-0.10747688223277148,-0.35016325646842933,0.2643021395371848,1.0,0.9092127529857431,0.9504879154550866
PSD_12_to_30_9,0.42015648174223796,-0.08290523249881213,-0.20895901485867843,0.21694419316570082,0.9092127529857431,1.0,0.8259945440089024
PSD_20_to_40_9,0.18900543094611807,-0.09109241878676377,-0.4747708216210396,0.2947189320401463,0.9504879154550866,0.8259945440089024,1.0
""
,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
1cha_one_component,-0.1559425214632608,-0.032165304996935595,-0.13617754898080264,-0.3342472311278442,0.5312951096994617,0.5290891208541564,0.5311986402413866
1cha_second_component,0.5721401694579074,-0.635603626779585,-0.5182271596080965,-0.006594483501412174,-0.002845853891701444,0.0022338111852348574,-0.006905878105264607
""
,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10
10cha_one_component,0.15674355677798904,-0.35708035520267256,-0.3575991937176255,-0.20667790031272315,0.4734057974650817,0.4747282079901906,0.47733868372112853
10cha_second_component,0.5617254032626637,-0.2619813409724735,-0.43276294835182333,0.599572008336166,-0.18155793687554708,-0.11244568046530581,-0.15314264646866108
""
,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11
11cha_one_component,0.22681603841776674,-0.2510622396604203,-0.3975080757945811,0.35114696052733374,0.4446834699766283,0.4541963263722325,0.44740103594334957
11cha_second_component,0.4154168559317085,-0.7172820018705318,-0.30458560275440977,-0.2536316825728263,-0.2332572371333587,-0.21156084760013666,-0.23804834567383723
""
,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
12cha_one_component,0.33784615029190695,-0.405688452401079,-0.3447574550364984,0.2993034377673032,0.4137420987093614,0.41308044642070785,0.4135439858095268
12cha_second_component,0.3848976372062423,-0.2662835109811903,-0.39696165594891397,0.3899372605675982,-0.3931592461770216,-0.39761269296633317,-0.39830544901807724
""
,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13
13cha_one_component,-0.20928794453265404,0.3119295539868645,-0.030577690097357155,-0.13113283840102416,0.5285119768773008,0.5287706476497277,0.5308901823026945
13cha_second_component,-0.5579533777691963,0.5126641458539783,0.5508890062371106,-0.1667838718959532,-0.1776694422918595,-0.18623666226929608,-0.1682778047656006
""
,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14
14cha_one_component,0.33788188840808814,-0.3388772211689717,-0.36477798667169214,0.2881195680671105,0.4007934947446228,0.44484453448093647,0.44317051809431035
14cha_second_component,0.22780433864660055,-0.5015868307531981,-0.35111699867344615,0.3740927464057435,-0.438376774737744,-0.3157109611311616,-0.3760846942246891
""
,burstduration_15,burstinterval_15,Ku_15,CorrDim_15,PSD_3_to_7_15,PSD_12_to_30_15,PSD_20_to_40_15
15cha_one_component,0.04406884210080037,-0.09502434390033865,0.12469084344985293,-0.34167776758824747,0.5344007351225333,0.5361366387912241,0.5326445031763923
15cha_second_component,-0.09747015918417018,0.7178694003682529,0.6865531498378221,0.010083748461117356,0.041507981163491914,-0.01969039201689421,-0.03994444279531584
""
,burstduration_16,burstinterval_16,Ku_16,CorrDim_16,PSD_3_to_7_16,PSD_12_to_30_16,PSD_20_to_40_16
16cha_one_component,0.14163475265092412,-0.2687656920205205,-0.40578649282040097,-0.09823520911411371,0.4876081779929923,0.49860840280888674,0.49701075538844486
16cha_second_component,0.25907218084087824,0.6227327459883132,0.37306965679649445,0.5052196755656764,0.24115634064250682,0.21284998243842126,0.21724674250985693
""
,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2
2cha_one_component,0.02317772641389658,-0.12083525418916052,-0.045740684623381586,-0.3955478853360246,0.5243121595442752,0.5259308159391882,0.5242183044488868
2cha_second_component,0.5426282082569666,-0.6154999341789346,-0.5539683327703406,0.12064355930925029,-0.030192559585665017,-0.04106478257714543,-0.05177614790580701
""
,burstduration_3,burstinterval_3,Ku_3,CorrDim_3,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3
3cha_one_component,-0.21419527198413787,0.3023724407851315,-0.03476199869417096,-0.07681767463630633,0.5337756382728179,0.5341084581695548,0.5342224852266403
3cha_second_component,-0.5029828129567667,0.5145582119487064,0.6079524775047925,0.23190770331466262,-0.13850118529515354,-0.13928195333932067,-0.1423681768204293
""
,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4
4cha_one_component,0.17961978657844002,-0.21637543535516557,-0.40417973358029613,-0.1884134435984653,0.49038426886166286,0.4902029220486824,0.4912045241512474
4cha_second_component,0.6545609444503403,-0.5949314012628616,-0.1725852384649466,0.30953907334142317,-0.17616333797759154,-0.17635122037626302,-0.17283871312588692
""
,burstduration_5,burstinterval_5,Ku_5,CorrDim_5,PSD_3_to_7_5,PSD_12_to_30_5,PSD_20_to_40_5
5cha_one_component,-0.13985363141899965,0.27603142179515006,0.27009372831533984,-0.2912128860916324,0.49873930514122317,0.4982078303129001,0.49953990049017105
5cha_second_component,0.6997455958260033,-0.5852138028769477,-0.19330921374558174,-0.21988686332071197,0.16132013453689004,0.17096772843917032,0.16403679858436013
""
